Age Group,Percentage,Count
0 - 4 Years,<0.1,38
5 - 17 Years,<0.1,71
18 - 29 Years,0.5,898
30 - 39 Years,1.3,2237
40 - 49 Years,3.1,5324
50 - 64 Years,15.3,26202
65 - 74 Years,21,36008
75 - 84 Years,26.6,45618
85+ Years,32.2,55178
