Group,Female,Male
0 - 9 Years,31,53
10 - 19 Years,11747,11041
20 - 29 Years,43190,39141
30 - 39 Years,39918,39120
40 - 49 Years,241416,226664
50 - 59 Years,24191,22949
60 - 69 Years,148382,148060
70 - 79 Years,20710,19925
