Group,age,gender,people
0 - 9 Years,10,Male,53
0 - 9 Years,10,Female,31
10 - 19 Years,20,Male,11041
10 - 19 Years,20,Female,11747
20- 29 Years,30,Male,39141
20- 29 Years,30,Female,43190
30 - 39 Years,40,Male,39120
30 - 39 Years,40,Female,39918
40 - 49 Years,50,Male,226664
40 - 49 Years,50,Female,241416
50 -59 Years,60,Male,22949
50 -59 Years,60,Female,24191
60 - 69 Years,70,Male,148060
60 - 69 Years,70,Female,148382
70 - 79 Years,80,Male,19925
70 - 79 Years,80,Female,20710
