age,gender,people
10,Male,53
10,Female,31
20,Male,11041
20,Female,11747
30,Male,39141
30,Female,43190
40,Male,39120
40,Female,39918
50,Male,226664
50,Female,241416
60,Male,22949
60,Female,24191
70,Male,148060
70,Female,148382
80,Male,19925
80,Female,20710
